test,predict
3.621444444,3.5308566
3.893555556,3.7613604
3.872444444,3.99047
3.478777778,3.9906256
3.532222222,3.8181891
3.648,3.2213428
3.481777778,3.2365491
3.506666667,3.3492293
3.179333333,3.3628805
3.313111111,3.3896132
3.300666667,3.127061
3.373333333,3.1763155
3.3034444440000006,3.3245401
2.935666667,3.0971978
3.136444444,3.1557684
3.193333333,3.1703227
3.019444444,3.1997762
2.970666667,2.9960992
2.930666667,3.1609461
3.073555556,3.3373287
3.0666666670000002,3.4412975
3.059333333,3.2534955
2.94,3.086695
