kf, avg-mse, std-mse, avg-mae, std-mae, avg-mape, std-mape, avg-r2, std-r2
1,0.14771724704194478,0.017582132963507746,0.3194191073389966,0.018087132989298947,0.09717074454470201,0.005298602450976319,0.0696851611856669,0.11073127560597777
2,0.08942689365551154,0.011928984934938519,0.25246364524964227,0.01746886999645027,0.08216107255357172,0.005753204748861488,-0.13948372862700073,0.15199995970743765
3,0.06378014047850618,0.011380932844003482,0.20276369088815382,0.022551302604028392,0.05959369507977279,0.00646870422015021,-0.34262646471117464,0.23957836271322022
4,0.08792360195035473,0.009778984756931302,0.23718369053261604,0.01259701229777129,0.07166907261794002,0.0035379756903397373,0.30170807444258446,0.07766499488692326
5,0.039262955741347985,0.011953865293487098,0.16055805195887501,0.026067604566736124,0.05100576284635143,0.00830091579771214,0.2477714811822283,0.22902092351639783
6,0.05279782720259098,0.014477837469425027,0.19673316043493863,0.023726278359701338,0.0586778600899885,0.006696114169414758,0.5788138736649009,0.11549460658784529
7,0.10271319660533132,0.02568922285113344,0.23734565916539782,0.031172563247529282,0.06838120630076179,0.00876376303156533,0.2332351977744232,0.1917727471228921
8,0.054783466319763954,0.004466582440356045,0.18697896407160433,0.011363449354151539,0.05692797395958051,0.0031482366263029214,0.32751424886333474,0.05482882426395571
