test,predict
3.546444444,3.5919955
3.666222222,3.6012967
3.271777778,3.7313495
3.419888889,3.7877264
3.2675555560000005,3.4874
3.297333333,3.101475
3.220222222,3.3105283
3.066444444,3.2045927
3.261555556,3.0234504
3.442888889,3.141981
3.465555556,3.27381
3.334333333,3.1944647
3.401333333,3.0306726
3.192333333,3.1334841
3.067,3.0062563
2.997222222,2.9820106
2.784222222,3.0927715
2.89,3.2874358
2.818777778,3.2227907
2.868555556,3.1213715
2.731222222,3.0742881
2.762777778,3.1349676
2.698666667,3.3873394
