test,predict
3.6432222219999995,3.4924424
3.383777778,3.5064566
3.339777778,3.4634569
4.044,3.4595854
3.680888889,3.5628207
3.424777778,3.3482583
3.466111111,3.3535533
3.470333333,3.247019
3.522222222,3.3485928
3.398666667,3.4242864
3.265777778,3.4007146
3.177222222,3.4663131
3.268555556,3.41732
3.263222222,3.409333
3.061888889,3.1938953
3.212666667,3.0362108
3.219111111,3.100385
3.1401111110000004,3.0858123
3.081222222,3.0130212
3.1951111110000006,2.9854667
3.164777778,2.9165668
3.287888889,2.905523
3.361111111,2.8114233
