test,predict
4.222,3.7927012
4.002444444,3.7739608
3.968111111,3.8487856
3.682666667,3.5448995
3.523333333,3.0919883
3.397777778,3.0797486
3.394666667,3.330576
3.356888889,3.279103
3.368555556,3.4021773
3.2877499999999995,3.2791057
3.325333333,3.1224751
3.407888889,3.2372706
3.1891111109999994,3.1487114
3.146,3.3875027
3.026111111,3.2237053
3.017888889,3.223849
2.975,3.0581982
3.088555556,3.0780318
2.954666667,3.3648608
3.045555556,3.2248647
2.923111111,3.1321845
2.993111111,3.2599034
2.979,3.164144
