test,predict
3.6432222219999995,3.564949
3.383777778,3.4658015
3.339777778,3.5526268
4.044,3.5494072
3.680888889,3.6293097
3.424777778,3.38277
3.466111111,3.4266107
3.470333333,3.2265003
3.522222222,3.249634
3.398666667,3.3685303
3.265777778,3.444981
3.177222222,3.526703
3.268555556,3.4086714
3.263222222,3.5272262
3.061888889,3.340161
3.212666667,3.218332
3.219111111,3.2762418
3.1401111110000004,3.1768248
3.081222222,3.1075077
3.1951111110000006,3.2523143
3.164777778,2.916274
3.287888889,2.9595368
3.361111111,2.9172475
