test,predict
3.6432222219999995,3.4069033
3.383777778,3.5144143
3.339777778,3.4289598
4.044,3.4966135
3.680888889,3.4011674
3.424777778,3.1895308
3.466111111,3.255408
3.470333333,3.1251435
3.522222222,3.128225
3.398666667,3.4022841
3.265777778,3.4592426
3.177222222,3.4791455
3.268555556,3.2944653
3.263222222,3.2865608
3.061888889,3.1119366
3.212666667,3.0750225
3.219111111,3.156508
3.1401111110000004,2.9993465
3.081222222,2.9089558
3.1951111110000006,3.1445909
3.164777778,2.9606395
3.287888889,2.8997293
3.361111111,2.8125582
