test,predict
3.621444444,3.6512182
3.893555556,3.904376
3.872444444,3.8917217
3.478777778,3.8052812
3.532222222,3.5492325
3.648,3.118968
3.481777778,3.1346705
3.506666667,3.3460476
3.179333333,3.2992818
3.313111111,3.2036097
3.300666667,3.1963334
3.373333333,3.3485432
3.3034444440000006,3.489446
2.935666667,3.3807063
3.136444444,3.1920135
3.193333333,3.143899
3.019444444,3.084956
2.970666667,3.0350807
2.930666667,3.11623
3.073555556,3.1527586
3.0666666670000002,3.4575305
3.059333333,3.3033187
2.94,3.1901453
