test,predict
3.546444444,3.7387917
3.666222222,3.7957437
3.271777778,3.7215307
3.419888889,4.0070763
3.2675555560000005,3.7789514
3.297333333,3.1035168
3.220222222,3.467964
3.066444444,3.3014462
3.261555556,3.0742016
3.442888889,3.1730936
3.465555556,3.4281502
3.334333333,3.3249564
3.401333333,3.0892324
3.192333333,3.0923047
3.067,2.9771042
2.997222222,2.9651897
2.784222222,3.2171125
2.89,3.2363467
2.818777778,3.3792334
2.868555556,3.0713031
2.731222222,3.0690632
2.762777778,3.0987313
2.698666667,3.2409651
